Escola Superior de Ciências da Saúde|Escola Superior de Ciências da Saúde|Brazil
Escola Superior de Ciências da Saúde da Santa Casa|Escola Superior de Ciências da Santa Casa de Misericórdia de Vitória|Brazil
Escola Superior de Educacao Almeida Garret|Escola Superior de Educação Almeida Garret|Portugal
Escola Superior de Educação Almeida Garret|Escola Superior de Educação Almeida Garret|Portugal
Escola Superior de Educação Almeida Garrett|Escola Superior de Educação Almeida Garret|Portugal
Escola Superior de Educação de Almeida Garrett|Escola Superior de Educação Almeida Garret|Portugal
Escola Superior de Educação de Coimbra|Instituto Politécnico de Coimbra|Portugal
Escola Superior de Educaçao de Coimbra (ESEC)|Instituto Politécnico de Coimbra|Portugal
Escola Superior de Educação de Portalegre|Instituto Politécnico de Coimbra|Portugal
Escola Superior de Enfermagem Calouste Gulbenkian|Escola Superior de Enfermagem Calouste Gulbenkian|Portugal
Escola Superior de Enfermagem Coimbra|Escola Superior de Enfermagem de Coimbra|Portugal
Escola Superior de Enfermagem de Calouste Gulbenkian|Escola Superior de Enfermagem Calouste Gulbenkian|Portugal
Escola Superior de Enfermagem de Calouste Gulbenkian de Lisboa|Escola Superior de Enfermagem Calouste Gulbenkian|Portugal
Escola Superior de Enfermagem de Coimbr|Escola Superior de Enfermagem de Coimbra|Portugal
Escola Superior de Enfermagem de Coimbra|Escola Superior de Enfermagem de Coimbra|Portugal
Escola Superior de Enfermagem de Coimbra - ESENFC|Escola Superior de Enfermagem de Coimbra|Portugal
Escola Superior de Magistratura do Estado do Ceará|Escola Superior da Magistratura do Estado do Ceará|Brazil
Escola Superior de Propaganda e Marketing|Escola Superior de Propaganda e Marketing|Brazil
Escola Superior de Propaganda e Marketing - ESPM|Escola Superior de Propaganda e Marketing|Brazil
Escola Superior de Propaganda e Marketing - ESPM-SP|Escola Superior de Propaganda e Marketing|Brazil
Escola Superior de Propaganda e Marketing de São Paulo|Escola Superior de Propaganda e Marketing|Brazil
Escola Superior de Saude do Alcoitao|Escola Superior de Saúde do Alcoitão|Portugal
Escola Superior de Saúde do Alcoitão|Escola Superior de Saúde do Alcoitão|Portugal
Escola Superior de Saúde Dr. Lopes Dias, Castelo Branco|Escola Secundária Camilo Castelo Branco|Brazil
Escola Superior Luis de Queiroz|Universidade de São Paulo|Brazil
Escola Superior Luis de Quieroz|Universidade de São Paulo|Brazil
Escola Técnica de Viçosa|Escola Técnica de Viçosa|Brazil
Escola Técnica Federal de Goiás|Instituto Federal de Educação, Ciência e Tecnologia de Goiás|Brazil
Escola Técnica Federal de Pernambuco|Instituto Federal de Pernambuco|Brazil
Escola Técnica Federal de Química do Rio de Janeiro|Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro|Brazil
Escola Técnica Federal de Santa Catarina|Instituto Federal de Santa Catarina|Brazil
Escola Técnica Federal de Sergipe|Instituto Federal de Educação, Ciência e Tecnologia de Sergipe|Brazil
Escola Técnica Federal do Amazonas|Instituto Federal do Amazonas|Brazil
Escola Valenciana d’Estudis en Salut|Escola Valenciana d'Estudis de la Salut|Spain
Escola Valenciana d'Estudis de la Salud|Escola Valenciana d'Estudis de la Salut|Spain
Escola Valenciana d'Estudis de la Salut|Escola Valenciana d'Estudis de la Salut|Spain
Escola Valenciana d'Estudis en Salut|Escola Valenciana d'Estudis de la Salut|Spain
Escola Valenciana d'Estudis en Salut (EVES)|Escola Valenciana d'Estudis de la Salut|Spain
Escola Valenciana d'Estudis per la Salud (EVES)|Escola Valenciana d'Estudis de la Salut|Spain
Escota Paulista de Medicina|Universidade Federal de São Paulo|Brazil
Escuela Colombiana de Ingenería|Escuela Colombiana de Ingenieria Julio Garavito|Colombia
Escuela Colombiana de Ingeniería|Escuela Colombiana de Ingenieria Julio Garavito|Colombia
Escuela Colombiana de Ingeniería - Julio Garavito|Escuela Colombiana de Ingenieria Julio Garavito|Colombia
Escuela Colombiana de Ingenieria Julio Garavito|Escuela Colombiana de Ingenieria Julio Garavito|Colombia
Escuela Colombiana de Ingeniería Julio Garavito|Escuela Colombiana de Ingenieria Julio Garavito|Colombia
Escuela Colombiana de Ingeniería, Julio Garavito|Escuela Colombiana de Ingenieria Julio Garavito|Colombia
Escuela de Alta Direccion y Administracion|Escuela de Alta Dirección y Administración|Spain
Escuela de Alta Dirección y Administración|Escuela de Alta Dirección y Administración|Spain
Escuela de Alta Dirección y Administración (EADA)|Escuela de Alta Dirección y Administración|Spain
Escuela de Alta Dirección y Administración (EADA), Barcelona-España|Escuela de Alta Dirección y Administración|Spain
Escuela de Ciencias de la Salud|Escuela Internacional de Ciencias de la Salud|Spain
Escuela de Enfermeras de Riberão Preto, de Universidade de la São Paulo|Universidade de São Paulo|Brazil
Escuela de Enfermería de la Universidad de San Paulo|Universidade de São Paulo|Brazil
Escuela de Enfermería de la Universidad de Sao Paulo (EEUSP)|Universidade de São Paulo|Brazil
Escuela de Enfermería. Pontificia Universidad Católica de Campinas/ Brasil|Pontifícia Universidade Católica de Campinas|Brazil
Escuela de Ingeniería de MaterialesUniversidad Nacional de Colombia|Universidad Nacional de Colombia|Colombia
Escuela Internacional de Ciencias de la Salud|Escuela Internacional de Ciencias de la Salud|Spain
Escuela Nacional de Salud Pública (FIOCRUZ)|Fundação Oswaldo Cruz|Brazil
Escuela Nacional de Salud Pública Sergio Arouca/FIOCRUZ|Fundação Oswaldo Cruz|Brazil
Escuela Politécnica de la Universidad de Sao Paulo|Universidade de São Paulo|Brazil
Escuela Superior de Agricultura  Luiz de Queiroz  Universidad de São Paulo  Brasil|Universidade de São Paulo|Brazil
"Especialista em F&#237;sica M&#233;dica, Mestre, Departamento de Diagn&#243;stico por Imagem da Escola Paulista de Medicina &#8211; Universidade Federal de S&#227;o Paulo (EPM-Unifesp), S&#227;o Paulo"|Universidade Federal de São Paulo|Brazil
"Especialista em Radiologia e Diagn&#243;stico por Imagem, Professor do Curso de Medicina da Pontif&#237;cia Universidade Cat&#243;lica do Paran&#225; (PUCPR)"|Pontifícia Universidade Católica de São Paulo|Brazil
"Especializandos em Radiologia e Diagn&#243;stico por Imagem pelo Instituto de P&#243;s-Gradua&#231;&#227;o M&#233;dica Carlos Chagas (IPGMCC)"|Instituto Carlos Chagas|Brazil
Es-Senia University|Université d'Oran|Algeria
Estacao Experimental de Agronomia de Pindamonhangaba|Estação Experimental de Agronomia de Pindamonhangaba|Brazil
Estação Experimental de Pindamonhangaba|Estação Experimental de Agronomia de Pindamonhangaba|Brazil
Estação Experimental Theodureto de Camargo|Hospital A. C. Camargo|Brazil
Estação Florestal Nacional|Instituto Nacional de Investigação Agrária e Veterinária|Portugal
Estácio|Universidade Estácio de Sá|Brazil
Estácio de Sá|Universidade Estácio de Sá|Brazil
Estácio Faculty of Sergipe|Universidade Estácio de Sá|Brazil
Estacion Experimental Agroindustrial Obispo Colombres|Estación Experimental Agroindustrial Obispo Colombres|Argentina
Estado do Ceará|Secretaria de Saúde do Estado do Ceará|Brazil
Estadual de Feira de Santana|Universidade Estadual de Feira de Santana|Brazil
Estadual de Maringá|Universidade Estadual de Maringá|Brazil
Estadual de Montes Claros|Universidade Estadual de Montes Claros|Brazil
Estadual do Ceará|Universidade Estadual do Ceará|Brazil
Estadual do Norte Fluminense (UENF)|Universidade Estadual do Norte Fluminense|Brazil
Estadual do Norte Fluminense Darcy Ribeiro|Universidade Estadual do Norte Fluminense|Brazil
Estadual Paulista|Universidade Estadual Paulista|Brazil
Estadual Paulista 'Júlio de Mesquita Filho'|Universidade Estadual Paulista|Brazil
Estadual Paulista University|Universidade Estadual Paulista|Brazil
"Estaticista do Centro Internacional de Pesquisa (CIPE) do Hospital A. C. Camargo, S&#227;o Paulo"|Hospital A. C. Camargo|Brazil
Estratégia Saúde da família de Maringá|Secretaria de Saúde de Maringá|Brazil
Estudante de Doutorado do DZO/UFV|Universidade Federal de Viçosa|Brazil
Estudante do Curso de Mestrado em Zootecnia da UEM|Universidade Estadual de Maringá|Brazil
"Estudiante de doctorado y Profesor Asistente, Faculdade de Medicina, Universidade Federal de Goi&#225;s, Goi&#226;nia"|Universidade Federal de Goiás|Brazil
"Estudiante de doctorado, Departamento de Enfermagem, Universidade Federal do Cear&#225;"|Universidade Federal do Ceará|Brazil
"Estudiante de doctorado, Escola Paulista de Enfermagem, Universidade Federal de S&#227;o Paulo, S&#227;o Paulo, Brasil. Becario de la Coordena&#231;&#227;o de Aperfei&#231;oamento de Pessoal de N&#237;vel Superior (CAPES)"|Universidade Federal de São Paulo|Brazil
"Estudiante de doctorado, Faculdade de Medicina, Universidade Federal de Goi&#225;s, Goi&#226;nia"|Universidade Federal de Goiás|Brazil
"Estudiante de doctorado, Universidade Federal do Cear&#225;, Brasil. Profesor Asistente, Universidade de Fortaleza, Fortaleza, CE"|Universidade Federal do Ceará|Brazil
"Estudiante de maestr&#237;a, Departamento de Enfermagem, Universidade Federal do Cear&#225;"|Universidade Federal do Ceará|Brazil
"Estudiante de maestr&#237;a, Departamento de Enfermagem, Universidade Federal do Cear&#225;, Brasil. Becario del Programa de Orienta&#231;&#227;o e Operacionaliza&#231;&#227;o da P&#243;s-Gradua&#231;&#227;o Articulada &#224; Gradua&#231;&#227;o (PROPAG/REUNI)"|Universidade Federal do Ceará|Brazil
"Estudiante de maestr&#237;a, Faculdade de Enfermagem, Universidade Federal de Goi&#225;s, Goi&#226;nia"|Universidade Federal de Goiás|Brazil
"Estudiante de maestr&#237;a, Universidade Federal do Rio Grande do Norte"|Universidade Federal do Rio Grande do Norte|Brazil
Estudiante del Doctorado en Ingeniería, Universidad Nacional de Colombia, sede Manizales, Colombia. Profesor, Universidad de Caldas,|Universidad Nacional de Colombia|Colombia
"Estudiantes de maestr&#237;a, Escola Paulista de Enfermagem, Universidade Federal de S&#227;o Paulo, S&#227;o Paulo"|Universidade Federal de São Paulo|Brazil
Evangelic Medical School|Hospital Universitário Evangélico de Curitiba|Brazil
Exercito Brasileiro|Exército Brasileiro|Brazil
F.C. Dondersstraat|F.C. Dondersstraat|Netherlands
F.C.M. da Santa Casa de São Paulo|Irmandade da Santa Casa de Misericórdia de São Paulo|Brazil
FA/UFRGS|Universidade Federal do Rio Grande do Sul|Brazil
fabio.roldan@javeriana.edu.co|Pontificia Universidad Javeriana|Colombia
Fac Anhanguera de Dourados|Universidade Anhanguera|Brazil
FACC/UFRJ|Universidade Federal do Rio de Janeiro|Brazil
Faculdade Albert Einstein|Hospital Israelita Albert Einstein|Brazil
Faculdade Anhanguera de Brasília|Universidade Anhanguera|Brazil
Faculdade Anhanguera de Campinas|Universidade Anhanguera|Brazil
Faculdade Anhanguera de Santa Bárbara|Universidade Anhanguera|Brazil
Faculdade Anhanguera de São José dos Campos|Universidade Anhanguera|Brazil
Faculdade Anhanguera de Taubaté|Universidade Anhanguera|Brazil
Faculdade Anhanguera Educacional|Universidade Anhanguera|Brazil
Faculdade Anhanguera Educacional Pelotas|Universidade Anhanguera|Brazil
Faculdade Anisio Teixeira de Feira de Santana|Faculdade Anísio Teixeira de Feira de Santana|Brazil
Faculdade Anísio Teixeira de Feira de Santana|Faculdade Anísio Teixeira de Feira de Santana|Brazil
Faculdade Assis Gurgacz|Faculdade Assis Gurgacz|Brazil
Faculdade Atlântico Sul de Pelotas/Anhanguera Educacional|Universidade Anhanguera|Brazil
Faculdade Atlântico Sul/Anhanguera Educacional|Universidade Anhanguera|Brazil
Faculdade da Alta Paulista|Faculdade de Direito da Alta Paulista|Brazil
Faculdade da Alta Paulista-Tupã|Faculdade de Direito da Alta Paulista|Brazil
Faculdade de Administração da PUC-Campinas|Pontifícia Universidade Católica de Campinas|Brazil
Faculdade de Agronomia e Medicina Veterinária da UnB|Universidade de Brasília|Brazil
Faculdade de Agronomia e Medicina Veterinária, Universidade de Passo Fundo|Universidade de Passo Fundo|Brazil
Faculdade de Agronomia Eliseu Maciel (FAEM/UFPel)|Universidade Federal de Pelotas|Brazil
Faculdade de Agronomia, Medicina e Veterinaria, Universidade de Passo Fundo|Universidade de Passo Fundo|Brazil
Faculdade de Arquitectura da Universidade Técnica de Lisboa (FAUTL)|Universidade Técnica de Lisboa|Portugal
Faculdade de Ciência e Tecnologia Albert Einstein|Hospital Israelita Albert Einstein|Brazil
Faculdade de Ciências Agrárias e Veterinárias - Unesp|Universidade Estadual Paulista|Brazil
Faculdade de Ciencias da Saude|Centro Universitário de Brasília|Brazil
Faculdade de Ciências da Saúde|Faculdade de Ciências da Saúde de Garça|Brazil
Faculdade de Ciências da Saúde de Campos Gerais|Faculdade de Ciências e Tecnologias de Campos Gerais|Brazil
Faculdade de Ciências da Saúde de Garça|Faculdade de Ciências da Saúde de Garça|Brazil
Faculdade de Ciências da Saúde São Camilo|Faculdades Ciências da Saúde São Camilo|Brazil
Faculdade de Ciências da Saúde, Universidade Metodista de Piracicaba|Universidade Metodista de Piracicaba|Brazil
Faculdade de Ciências da Universidade de Lisboa|Universidade de Lisboa|Portugal
Faculdade de Ciências Farmacêuticas de Ribeirão Preto|Universidade de São Paulo|Brazil
Faculdade de Ciências Farmacêuticas e Bioquímica Oswaldo Cruz|Fundação Oswaldo Cruz|Brazil
Faculdade de Ciências Farmacêuticas, Universidade de São Paulo|Universidade de São Paulo|Brazil
Faculdade de Ciências Humanas de Pernambuco|Faculdade de Ciências Humanas de Pernambuco|Brazil
Faculdade de Ciências Mádicas da Santa Casa de São Paulo|Faculdade de Ciências Médicas da Santa Casa de São Paulo|Brazil
Faculdade de Ciências Médias da Santa Casa de São Paulo|Faculdade de Ciências Médicas da Santa Casa de São Paulo|Brazil
Faculdade de Ciências Médicas da Santa Casa|Faculdade de Ciências Médicas da Santa Casa de São Paulo|Brazil
Faculdade de Ciencias Medicas da Santa Casa de Misericordia de Sao Paulo|Faculdade de Ciências Médicas da Santa Casa de São Paulo|Brazil
Faculdade de Ciencias Medicas da Santa Casa de Misericordia de Sao Paulo (FCMSCMSP)|Faculdade de Ciências Médicas da Santa Casa de São Paulo|Brazil
Faculdade de Ciências Médicas da Santa Casa de Misericórdia de São Paulo.|Faculdade de Ciências Médicas da Santa Casa de São Paulo|Brazil
Faculdade de Ciências Medicas da Santa Casa de Sao Paulo|Faculdade de Ciências Médicas da Santa Casa de São Paulo|Brazil
Faculdade de Ciências Médicas da Santa Casa de São Paulo|Faculdade de Ciências Médicas da Santa Casa de São Paulo|Brazil
Faculdade de Ciências Médicas da Santa Casa de São Paulo (FCMSCSP)|Faculdade de Ciências Médicas da Santa Casa de São Paulo|Brazil
Faculdade de Ciências Médicas da Santa Casa de São Paulo,|Faculdade de Ciências Médicas da Santa Casa de São Paulo|Brazil
Faculdade de Ciências Médicas da Universidade de Pernambuco|Universidade de Pernambuco|Brazil
Faculdade de Ciências Médicas da Universidade Estadual de Campinas|Universidade Estadual de Campinas|Brazil
Faculdade de Ciências Médicas de Belo Horizonte|Faculdade de Ciências Médicas de Minas Gerais|Brazil
Faculdade de Ciências Medicas de Minas Gerais|Faculdade de Ciências Médicas de Minas Gerais|Brazil
Faculdade de Ciências Médicas de Minas Gerais Belo Horizonte|Faculdade de Ciências Médicas de Minas Gerais|Brazil
Faculdade de Ciências Mèdicas Santa Casa|Faculdade de Ciências Médicas da Santa Casa de São Paulo|Brazil
Faculdade de Economia, Administração e Contabilidade da USP|Universidade de São Paulo|Brazil
Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto (FEA-RP/USP)|Universidade de São Paulo|Brazil
Faculdade de Educação da UFRJ|Universidade Federal do Rio de Janeiro|Brazil
Faculdade de Educação da Universidade Estadual de Campinas|Universidade Estadual de Campinas|Brazil
Faculdade de Educação da Universidade Federal de Uberlândia|Universidade Federal de Uberlândia|Brazil
Faculdade de Educação da Universidade Metodista de São Paulo|Universidade de São Paulo|Brazil
Faculdade de Enfermagem Anhanguera de Pelotas|Universidade Anhanguera|Brazil
Faculdade de Enfermagem da Anhanguera|Universidade Anhanguera|Brazil
Faculdade de Enfermagem da UERJ|Universidade do Estado do Rio de Janeiro|Brazil
FACULDADE DE ENFERMAGEM DO HOSPITAL ISRAELITA ALBERT EINSTEIN|Hospital Israelita Albert Einstein|Brazil
Faculdade de Enfermagem do Hospital Israelita Albert Einstein (FEHIAE)|Hospital Israelita Albert Einstein|Brazil
Faculdade de Engenharia de Alimentos da Universidade Estadual de Campinas|Universidade Estadual de Campinas|Brazil
Faculdade de Engenharia de Alimentos, Universidade de Campinas (UNICAMP)|Universidade Estadual de Campinas|Brazil
Faculdade de Engenharia de Ilha Solteira / Universidade Estadual Paulista|Universidade Estadual Paulista|Brazil
Faculdade de Farmácia, Universidade Federal de Goiás|Universidade Federal de Goiás|Brazil
Faculdade de Filosofia Ciências e Letras de Ribeirão Preto|Universidade de São Paulo|Brazil
Faculdade de Filosofia Ciências e Letras de Ribeirão Preto-USP|Universidade de São Paulo|Brazil
Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto|Universidade de São Paulo|Brazil
Faculdade de Filosofia, Letras e Ciências Humanas da USP|Universidade de São Paulo|Brazil
Faculdade de Geofísica (UFPA)|Universidade Federal do Pará|Brazil
Faculdade de História da PUC-Campinas|Pontifícia Universidade Católica de Campinas|Brazil
Faculdade de Itapiranga|Faculdade de Itapiranga|Brazil
Faculdade de Letras da Universidade de Lisboa|Universidade de Lisboa|Portugal
Faculdade de Letras da Universidade do Porto|Universidade do Porto|Portugal
Faculdade de Medicina Albert Einstein|Hospital Israelita Albert Einstein|Brazil
Faculdade de Medicina Anhembi-Morumbi|Universidade Anhembi-Morumbi|Brazil
Faculdade de Medicina Anhenbi-Morumbi|Universidade Anhembi-Morumbi|Brazil
Faculdade de Medicina da Fundação do ABC Santo André|Faculdade de Medicina do ABC|Brazil
Faculdade de Medicina da Fundação Universidade Federal do Rio Grande|Fundação Universidade Federal do Rio Grande|Brazil
Faculdade de Medicina da Santa Casa-SP|Faculdade de Ciências Médicas da Santa Casa de São Paulo|Brazil
Faculdade de Medicina da UFBA|Universidade Federal da Bahia|Brazil
Faculdade de Medicina da UFRJ/ HUCFF|Universidade Federal do Rio de Janeiro|Brazil
Faculdade de Medicina da UFRJ/RJ|Universidade Federal do Rio de Janeiro|Brazil
Faculdade de Medicina da UNESP|Universidade Estadual Paulista|Brazil
Faculdade de Medicina da Universidade de Lisboa|Universidade de Lisboa|Portugal
Faculdade de Medicina da Universidade de Passo Fundo|Universidade de Passo Fundo|Brazil
Faculdade de Medicina da Universidade de Sao Paulo (FMUSP)|Universidade de São Paulo|Brazil
Faculdade de Medicina da Universidade de São Paulo (FMUSP)|Universidade de São Paulo|Brazil
Faculdade de Medicina da Universidade de São Paulo (HCFMUSP)|Universidade de São Paulo|Brazil
Faculdade de Medicina da Universidade do Porto|Universidade do Porto|Portugal
Faculdade de Medicina da Universidade Estácio de Sá|Universidade Estácio de Sá|Brazil
Faculdade de Medicina da Universidade Estadual de Montes Claros|Universidade Estadual de Montes Claros|Brazil
Faculdade de Medicina da Universidade Federal da Bahia|Universidade Federal da Bahia|Brazil
Faculdade de Medicina da Universidade Federal de Juiz de Fora|Universidade Federal de Juiz de Fora|Brazil
Faculdade de Medicina da Universidade Federal de Minas Gerais (FMUFMG)|Universidade Federal de Minas Gerais|Brazil
Faculdade de Medicina da Universidade Federal de Minas Gerais (UFMG)|Universidade Federal de Minas Gerais|Brazil
Faculdade de Medicina da Universidade Federal de Pelotas|Universidade Federal de Pelotas|Brazil
Faculdade de Medicina da Universidade Federal de Sergipe|Universidade Federal de Sergipe|Brazil
Faculdade de Medicina da Universidade Federal do Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Faculdade de Medicina da Universidade Federal do Rio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Faculdade de Medicina da Universidade Federal do Triângulo Mineiro|Universidade Federal do Triângulo Mineiro|Brazil
Faculdade de Medicina da Universidade Federal Fluminense (UFF)|Universidade Federal Fluminense|Brazil
Faculdade de Medicina da Universidade São Paulo|Universidade de São Paulo|Brazil
Faculdade de Medicina de Belo Horizonte|Faculdade de Ciências Médicas de Minas Gerais|Brazil
Faculdade de Medicina de Botucatu - Unesp|Universidade Estadual Paulista|Brazil
Faculdade de Medicina de Botucatu (FMB/Unesp)|Universidade Estadual Paulista|Brazil
Faculdade de Medicina de Botucatu da Universidade Estadual Paulista|Universidade Estadual Paulista|Brazil
Faculdade de Medicina de Botucatu-UNESP|Universidade Estadual Paulista|Brazil
Faculdade de Medicina de Ciências Médicas de Belo Horizonte|Faculdade de Ciências Médicas de Minas Gerais|Brazil
Faculdade de Medicina de Ribeirão Preto|Universidade de São Paulo|Brazil
Faculdade de Medicina de Ribeirão Preto - USP|Universidade de São Paulo|Brazil
Faculdade de Medicina de Ribeirão Preto da Universidade de São Paulo (FMRP-USP)|Universidade de São Paulo|Brazil
Faculdade de Medicina de Ribeirão Preto -USP|Universidade de São Paulo|Brazil
Faculdade de Medicina de Ribeirão Preto- USP|Universidade de São Paulo|Brazil
Faculdade de Medicina de Ribeirão Preto-USP|Universidade de São Paulo|Brazil
Faculdade de Medicina de Riberão Preto - USP|Universidade de São Paulo|Brazil
Faculdade de Medicina de Riberão Preto, Universidade de São Paulo|Universidade de São Paulo|Brazil
Faculdade de Medicina de Sao Jose do Rio Preto|Faculdade de Medicina de São José do Rio Preto|Brazil
Faculdade de Medicina de São José do Rio Preto|Faculdade de Medicina de São José do Rio Preto|Brazil
Faculdade de Medicina de Triângulo Mineiro|Universidade Federal do Triângulo Mineiro|Brazil
Faculdade de Medicina do ABC|Faculdade de Medicina do ABC|Brazil
Faculdade de Medicina do ABC - FMABC - Santo André (SP)|Faculdade de Medicina do ABC|Brazil
Faculdade de Medicina do ABC, Santo André, SP, Brasil|Faculdade de Medicina do ABC|Brazil
Faculdade de Medicina do Ceará|Universidade Federal do Ceará|Brazil
Faculdade de Medicina do Triângulo Mineiro Uberaba|Universidade Federal do Triângulo Mineiro|Brazil
Faculdade de Medicina Estácio de Sá|Universidade Estácio de Sá|Brazil
Faculdade de Medicina Veterinária da Anhanguera Educacional|Universidade Anhanguera|Brazil
Faculdade de Medicina Veterinária de Viçosa|Faculdade de Medicina Veterinária de Viçosa|Brazil
Faculdade de Medicina Veterinária do Ceará|Faculdade de Medicina Veterinária do Ceará|Brazil
Faculdade de Medicina Veterinária e Agronomia de Jaboticabal / Universidade Estadual Paulista|Universidade Estadual Paulista|Brazil
Faculdade de Medicina Veterinária e Agronomia de Jaboticabal \Universidade Estadual Paulista|Universidade Estadual Paulista|Brazil
Faculdade de Medicina Veterinária e Zootecnia da USP|Universidade de São Paulo|Brazil
Faculdade de Medicina, Universidade Federal de Minas Gerais|Universidade Federal de Minas Gerais|Brazil
Faculdade de Medicina, USP|Universidade de São Paulo|Brazil
Faculdade de Medicine de Ribeirão Preto|Universidade de São Paulo|Brazil
Faculdade de Odontologia da UNESP|Universidade Estadual Paulista|Brazil
Faculdade de Odontologia de Araraquara - Unesp|Universidade Estadual Paulista|Brazil
Faculdade de Odontologia de Araras|Fundação Hermínio Ometto|Brazil
Faculdade de Odontologia de Bauru da Universidadede São Paulo|Universidade de São Paulo|Brazil
Faculdade de Odontologia de Montes Claros|Universidade Estadual de Montes Claros|Brazil
Faculdade de Odontologia de Pernambuco|Faculdade de Odontologia de Pernambuco|Brazil
Faculdade de Odontologia de Pernambuco - UPE/FOP|Universidade de Pernambuco|Brazil
Faculdade de Odontologia de Ribeirão Preto|Universidade de São Paulo|Brazil
Faculdade de Odontologia de São José dos Campos da UNESP|Universidade Estadual Paulista|Brazil
Faculdade de Psicologia|Universidade de Lisboa|Portugal
Faculdade de Psicologia da Universidade Presbiteriana Mackenzie|Universidade Presbiteriana Mackenzie|Brazil
Faculdade de Tecnologia e Ciências de Feira de Santana|Faculdade de Tecnologia e Ciências Geral de Feira de Santana|Brazil
Faculdade de Tecnologia e Ciências Geral de Feira de Santana|Faculdade de Tecnologia e Ciências Geral de Feira de Santana|Brazil
Faculdade de Tecnologia Unicamp|Universidade Estadual de Campinas|Brazil
Faculdade de Veterinária, Universidade Federal de Pelotas|Universidade Federal de Pelotas|Brazil
Faculdade de Viçosa|Faculdade de Viçosa|Brazil
Faculdade do Agreste de Pernambuco|Faculdade do Agreste de Pernambuco|Brazil
Faculdade Estácio|Universidade Estácio de Sá|Brazil
Faculdade Estácio de Sá de Belo Horizonte|Universidade Estácio de Sá|Brazil
Faculdade Estácio de Sá de Campo Grande|Universidade Estácio de Sá|Brazil
Faculdade Estácio de Sá de Juiz de Fora|Universidade Estácio de Sá|Brazil
Faculdade Estácio de Sá de Ourinhos|Universidade Estácio de Sá|Brazil
Faculdade Estácio de Sá de Vitória|Universidade Estácio de Sá|Brazil
Faculdade Estácio de Sá Santa Catarina|Universidade Estácio de Sá|Brazil
Faculdade Estácio de Santa Catarina|Universidade Estácio de Sá|Brazil
Faculdade Estácio de Sergipe|Universidade Estácio de Sá|Brazil
Faculdade Estácio do Recife|Universidade Estácio de Sá|Brazil
Faculdade Estadual de Campinas|Universidade Estadual de Campinas|Brazil
Faculdade Estadual de Ciências Econômicas de Apucarana|Faculdade Estadual de Ciências Econômicas de Apucarana|Brazil
Faculdade Federal da Bahia|Universidade Federal da Bahia|Brazil
Faculdade Federal de Medicina do Triângulo Mineiro|Universidade Federal do Triângulo Mineiro|Brazil
Faculdade Federal de Minas Gerais|Universidade Federal de Minas Gerais|Brazil
Faculdade Federal de Santa Catarina|Universidade Federal de Santa Catarina|Brazil
Faculdade Federal do Rio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Faculdade Integrada de Pernambuco|Faculdade Integrada de Pernambuco|Brazil
Faculdade Integrada do Recife - Estácio FIR|Universidade Estácio de Sá|Brazil
Faculdade Israelita Albert Einstein|Hospital Israelita Albert Einstein|Brazil
Instituto del Corazon Denton Arthur Cooley |Instituto Denton Cooley|Brazil
Faculdade Maringá|Faculdade Maringá|Brazil
Faculdade Metropolitana|Faculdade Metropolitana de Belo Horizonte|Brazil
Faculdade Metropolitana - COC|Faculdade Metropolitana de Belo Horizonte|Brazil
FACULDADE METROPOLITANA DA GRANDE FORTALEZA|Faculdade Metropolitana da Grande Fortaleza|Brazil
Faculdade Metropolitana de Belo Horizonte|Faculdade Metropolitana de Belo Horizonte|Brazil
Faculdade Metropolitana de Blumenau|Faculdade Metropolitana de Blumenau|Brazil
Faculdade Metropolitana de Caieiras|Faculdade Metropolitana de Caieiras|Brazil
Faculdade Metropolitana de Camaçari|Faculdade Metropolitana de Camaçari|Brazil
Faculdade Metropolitana de Campinas|Faculdade Metropolitana de Campinas|Brazil
Faculdade Metropolitana de Guaramirim|Faculdade Metropolitana de Guaramirim|Brazil
Faculdade Metropolitana de Maringá|Faculdade Metropolitana de Maringá|Brazil
Faculdade Metropolitana Londrinense|Faculdade Metropolitana Londrinense|Brazil
Faculdade Metropolitana São Carlos|Faculdade Metropolitana São Carlos|Brazil
Faculdade Metropolitana Unida|Faculdades Metropolitanas Unidas|Brazil
Faculdade Morumbi Sul|Universidade Anhembi-Morumbi|Brazil
Faculdade Oswaldo Cruz|Faculdades Oswaldo Cruz|Brazil
Faculdade Paraíso do Ceará|Faculdade Paraíso do Ceará|Brazil
Faculdade Paulistana|Faculdade Paulistana|Brazil
Faculdades Anhanguera|Universidade Anhanguera|Brazil
Faculdades Anhanguera de Campinas|Universidade Anhanguera|Brazil
Faculdades Anhanguera Educacional|Universidade Anhanguera|Brazil
Faculdades Atlântico Sul/Anhanguera Educacional|Universidade Anhanguera|Brazil
Faculdades da Alta Paulista|Faculdade de Direito da Alta Paulista|Brazil
Faculdades da Alta Paulista de Tupã|Faculdade de Direito da Alta Paulista|Brazil
Faculdades Integradas do Ceará|Universidade Estácio de Sá|Brazil
